Accession Number,Inventory (x = verified),Genus,Species,Date Collected,UUID,Verified
A44429,x,Ectocarpus,sp.,1970 Feb 10,F58F3CDA-8858-C944-82F1-BEC6CFE49B52,03/17/2020
A44430,x,Ectocarpus,sp.,1970 Feb 10,8F7CF591-FA7F-CE43-8ACA-3F1B2FD60B20,03/17/2020
A44431,x,Ectocarpus,sp.,1970 Feb 10,F528F1C9-35A8-B44C-AC82-8A3F94D093BE,03/17/2020
A44432,x,Ectocarpus,sp.,1970 Feb 10,71DAEC34-FA9E-6745-9E4D-E7C7C2B034BC,03/17/2020
A44433,x,Ectocarpus,sp.,1970 Feb 10,57ADABE4-03DD-D941-9FE3-ABF875C7DF6E,03/17/2020
A44399,x,Ectocarpus,sp.,1970 Feb 22,CAD575AE-718D-9149-96F9-A552444112FE,03/17/2020
A44410,x,Ectocarpus,siliculosus,1970 Jan 29,90BDCF60-70B2-BA41-9807-8EFF281CA4B6,03/17/2020
A44428,x,Ectocarpus,sp.,1970 Feb 10,3B2F2B2C-2CD8-7A46-88D2-EBAD2C6E97F7,03/17/2020
A45031,x,Ectocarpus,sp.,1967 Dec 19,0871B433-FDE0-2B4B-9D54-45F15073F10B,03/17/2020
A45030,x,Ectocarpus,sp.,1967 Dec 19,6EF86014-826A-CD44-B106-F0EEB8859B51,03/17/2020
A45029,x,Ectocarpus,sp.,1967 Dec 19,DEC36C19-FCE3-E64B-980D-AD53A47F1C3C,03/17/2020
A45308,x,Ectocarpus,sp.,1970 Feb 14,101D0B62-AA61-CC4E-806B-4C830A335F9C,03/17/2020
A44423,x,Ectocarpus,sp.,1970 Feb 05,46A8A9C2-4B29-8F4E-8797-FF2CA1788332,03/17/2020
A44424,x,Ectocarpus,sp.,1970 Feb 06,DC0FBC52-2722-0D4F-BBB2-3CBD0A0BD9A5,03/17/2020
A45039,x,Ectocarpus,sp.,1968 Feb 04,D4EF7360-1D54-594C-B859-AFDF68E66A17,03/17/2020
A45038,x,Ectocarpus,sp.,1968 Jan 30,A983657D-A9BD-2F4A-8AC8-E0CA1766D4B5,03/17/2020
A45037,x,Ectocarpus,sp.,1968 Jan 30,7518532E-EFAC-3D42-B2C5-5107E776C24C,03/17/2020
A45036,x,Ectocarpus,sp.,1968 Jan 30,2D3E2208-8985-CF48-B5D4-944618587F0E,03/17/2020
A45035,x,Ectocarpus,sp.,1968 Jan 30,5A5F5E29-5BD4-B443-A85C-9A4AB72E7D32,03/17/2020
A45034,x,Ectocarpus,sp.,1968 Jan 29,EFB30160-4790-A949-8714-84189494B00E,03/17/2020
A45033,x,Ectocarpus,sp.,1968 Jan 29,54785B99-8035-1F44-B475-C3CE69769322,03/17/2020
A45032,x,Ectocarpus,sp.,1968 Jan 21,EEC6E5A5-4640-AD46-B8BF-74B23C9E2B70,03/17/2020
A44413,x,Ectocarpus,sp.,1970 Feb 03,486D5971-1E4B-F942-B581-D8A30909A263,03/17/2020
A44414,x,Ectocarpus,sp.,1970 Feb 03,4F4A77F6-E41C-5A48-BD7F-F920CA65E837,03/17/2020
A44416,x,Ectocarpus,sp.,1970 Feb 02,4776B607-74DB-4A4D-ACC9-976EE4E4D982,03/17/2020
A44417,x,Ectocarpus,sp.,1970 Feb 05,8EA2839C-1353-3C4B-92AD-E62AAE1A9BE9,03/17/2020
A44418,x,Ectocarpus,sp.,1970 Feb 05,D4744E67-7BFC-F04E-AFEF-6775D33EDB7E,03/17/2020
A44419,x,Ectocarpus,sp.,1970 Feb 05,01F79E99-9C6A-144A-BC64-6F506D88DF44,03/17/2020
A44420,x,Ectocarpus,sp.,1970 Feb 05,A8EB5EDF-BD49-4749-9C3F-36A39BEBE9C9,03/17/2020
A44421,x,Ectocarpus,sp.,1970 Feb 05,48CA237C-7CF4-114E-8999-53B4AAE95DE5,03/17/2020
A44422,x,Ectocarpus,sp.,1970 Feb 05,1833541A-3E12-754C-96C7-03473FF93714,03/17/2020
A44403,x,Ectocarpus,sp.,1970 Feb 19,39D8BE57-F776-9F45-8F4A-90ADDE9BC921,03/17/2020
A64122,x,Dictyota,binghamiae,1979 May 28,5B6494F0-FDA0-384E-98FD-5A80C9AA54AC,03/17/2020
A65970,x,Ectocarpus,parvus,1976 Oct 23,C6E00987-CDC2-E443-9342-E2D6AB1087E2,03/17/2020
A66309,x,Dictyosiphon,foeniculaceus,1917 Jul 25,80994637-9833-7A4E-8751-62FFB02A2590,03/17/2020
A66308,x,Dictyosiphon,foeniculaceus,1902 Jun 26,81D55741-0427-744B-A431-A99AE443BB70,03/17/2020
A66876,x,Dictyota,binghamiae,1982 Mar 27,34F200A7-B969-9E4B-8D43-5EA6D901F772,03/17/2020
A67021,x,Dictyosiphon,foeniculaceus,11/7/1982,E567B69D-521C-384D-AE15-C8300FB54E49,03/17/2020
A67041,x,Dictyosiphon,foeniculaceus,1982 Jul 17,F4A247A8-B66C-A949-9E5C-8A6C107554A7,03/17/2020
A67042,x,Dictyosiphon,foeniculaceus,1982 Jul 18,A228AB0F-85B6-0941-9DC9-3459F879090D,03/17/2020
A67086,c,Dictyosiphon,foeniculaceus,1982 Jul 07,A3A6A285-A36F-594C-91E2-6CC79F1A9CF1,03/17/2020
A67066,x,Dictyota,binghamiae,11/7/1982,4E3BA505-A0D9-D244-9345-427858379201,03/17/2020
A84512,x,Dictyota,binghamiae,2003 Aug 08,00777335-F52D-0341-93C0-BAFD43B04EAB,03/17/2020
A84585,x,Ectocarpus,siliculosus,1994 May 20,7BAD8F29-AF7D-D340-9749-EB8BCBBBEBB8,03/17/2020
A85016,x,Ectocarpus,parvus,6/2/1977,8F9A3054-47E8-CD47-8500-5B0BAA039895,03/17/2020
A85017,x,Ectocarpus,parvus,1977 Jun 17,346499E2-6639-EE4B-BAD5-49460705272D,03/17/2020
A85375,x,Dictyosiphon,foeniculaceus,2006 May 13,7D4943F0-1077-224C-9963-C1043DFDC248,03/17/2020
A85862,x,Dictyota,spinulosa,2007 May 11,933F1B6A-4FEE-BC41-A4E0-AB434B22B375,03/17/2020
A86876,x,Ectocarpus,parvus,2005 May 23,FD6837B1-AA08-3449-8DCB-ABEFD839A632,03/17/2020
A89077,x,Dictyosiphon,foeniculaceus,2011 Aug 12,55BBDCF7-BE2A-844C-B123-51C1C2A588D6,03/17/2020
A63821,x,Dictyota,binghamiae,1977 Jun 23,0C59025E-15A2-C84E-A3B4-810E3F4DE173,03/17/2020
A45345,x,Dictyota,binghamiae,1970 May 21,D6D63382-C9F3-DD40-843F-A4C7B8879131,03/17/2020
A56174,x,Dictyota,binghamiae,1976 Mar 30,7900BC08-8580-1642-8C9F-9BE6BE8EDEFD,03/17/2020
A55476,x,Dictyota,binghamiae,1976 Mar 30,C5B472A4-8A8C-8241-87E6-4D53A538B2CF,03/17/2020
A56402,x,Dictyota,binghamiae,1976 Mar 27,C778B48D-DDBB-1C48-97AD-3CC697D8C7A0,03/17/2020
A56197,x,Dictyota,binghamiae,1976 Mar 27,FB61236B-C4D6-AF4A-BD01-6D0728D72CAD,03/17/2020
A56400,x,Dictyota,binghamiae,1976 Mar 27,0410A11D-2B61-2743-B9CB-18814A431EF7,03/17/2020
A56383,x,Dictyota,binghamiae,1976 Mar 29,1AD1F65E-1E38-C74F-92C5-ECC406724A00,03/17/2020
A55111,x,Dictyota,binghamiae,1976 Mar 27,406B6D53-CC19-5448-8A36-DE4801073676,03/17/2020
A64396,x,Dictyosiphon,foeniculaceus,1981 Jul 13,0B6535BD-2574-D145-91E6-E34EAFA14EA2,03/17/2020
A66684,x,Dictyosiphon,foeniculaceus,1982 Apr 25,E2DAE628-0740-7F4D-BB6B-160D0B3DEF94,03/17/2020
A90346,x,Dictyosiphon,foeniculaceus,2013 May 29,B043FE4B-245B-D24F-A01E-442BF2A2BA75,03/17/2020
A90772,x,Dictyosiphon,foeniculaceus,2014 Jun 16,049BB8B2-5AE0-DF40-BBA2-DDE6089909EB,03/17/2020
A80710,x,Dictyosiphon,foeniculaceus,1989 Jul 16,4E75ABF7-6131-0746-BE1A-C819815DF2B4,03/17/2020
A80702,x,Dictyosiphon,foeniculaceus,1989 Jul 21,1E3A4674-A61F-BF48-9EBC-68B8B70A74B1,03/17/2020
A80646,x,Ectocarpus,commensalis,1989 Jul 24,2F3240D9-5F78-E74A-9968-0A14BF0993B6,03/17/2020
A80632,x,Dictyosiphon,foeniculaceus,1989 Jul 27,C436F6B5-93C2-0540-A591-57D2205E8EE5,03/17/2020
A80546,x,Dictyosiphon,foeniculaceus,1989 Jul 30,F48B2A88-320E-2143-898E-CE64912026DD,03/17/2020
A92713,x,Dictyosiphon,foeniculaceus,2016 May 27,A5CAE1A7-F3A5-EB45-80BF-ABDEC3CD86FC,03/17/2020
A92812,x,Dictyosiphon,sinicola,2015 Jun 17,3CC8BDE3-63E4-824D-92A2-911AB9704493,03/17/2020
