Accession Number,X = Inventoried,Genus,Species,Date Collected,UUID,Verified
A2888,x,Ectocarpus,sargassi,1900 May 20,73DDC4B4-214D-0E4B-BF44-6E9D82F6F38F,03/16/2020
A61458,x,Ectocarpus,siliculosus,1979 Aug 03,BC231524-B85B-7B42-A7F1-BA3194EE0C48,03/16/2020
A61340,x,Ectocarpus,siliculosus,1979 Aug 06,959CE984-4EA3-7743-97A0-11C25D1AAC65,03/16/2020
A25547,x,Ectocarpus,sp.,1966 Jul 04,D96D8640-7EA1-8B45-A39C-3BA609BD7076,03/16/2020
A22830,x,Ectocarpus,sp.,1965 Jul 02,4E415CDC-041E-5E4E-96AA-4CB95E7A92BB,03/16/2020
A23560,x,Ectocarpus,sp.,1965 Jun 30,7835E441-5AD5-424E-B701-C47C731F689A,03/16/2020
A64973,x,Ectocarpus,parvus,1981 Oct 07,9F5BDE29-CDDA-F844-93C4-D0C2A8D163D2,03/16/2020
A89217,x,Ectocarpus,siliculosus,2008 Aug,FC291933-02C0-4441-B67E-F3B9F14AF30A,03/16/2020
A56363,x,Ectocarpus,parvus,1976 Mar 27,752B07D7-8CD4-A04B-BC2A-22CA20160007,03/16/2020
A56368,x,Ectocarpus,parvus,1976 Mar 29,F56E2C74-EF77-6F43-B74D-C06EFFD8511C,03/16/2020
A56240,x,Ectocarpus,parvus,1976 Mar 27,A9811DB7-1E00-9D49-BE67-95980B5CFB30,03/16/2020
A55338,x,Ectocarpus,parvus,1976 Mar 31,9D7E32D9-4CDB-5647-98EC-0BAD2051CDB4,03/16/2020
A60763,x,Ectocarpus,parvus,1979 Jul 22,2C69CEA6-32C3-344D-841D-C7D64942713B,03/16/2020
A60767,x,Ectocarpus,parvus,1979 Jul 22,BC7846AA-10B4-A34A-8C89-BA5DB8E967DB,03/16/2020
A60765,x,Ectocarpus,parvus,1979 Jul 22,F13C4849-EE48-1140-9350-063B68A07BF0,03/16/2020
